,decision,money_flow,price,units
134,BUY,-115257.597651,147.199997,783.0
135,SELL,107740.804698,137.600006,783.0
136,BUY,-107827.597576,133.449997,808.0
137,STOPLOSS-SELL,109564.804848,135.600006,808.0
138,BUY,-109557.0,129.5,846.0
139,SELL,110487.605076,130.600006,846.0
140,BUY,-110508.75,123.75,893.0
141,SELL,109437.152679,122.550003,893.0
142,BUY,-109416.801864,117.400002,932.0
143,STOPLOSS-SELL,115521.397204,123.949997,932.0
144,BUY,-115444.403084,112.300003,1028.0
145,SELL,110664.202056,107.650002,1028.0
146,BUY,-110705.401992,111.150002,996.0
147,SELL,110058.0,110.5,996.0
148,BUY,-110047.5,109.5,1005.0
149,STOPLOSS-SELL,118640.25301500001,118.050003,1005.0
150,SELL,118631.055298,134.350006,883.0
151,STOPLOSS-BUY,-112979.84735099999,127.949997,883.0
152,SELL,124368.00288,129.550003,960.0
153,BUY,-124368.00288,129.550003,960.0
