,real,predicted
0,267.299988,268.5440381637377
1,264.149994,271.09982755962557
2,264.950012,274.4261421518982
3,260.950012,277.9552855015052
4,258.75,280.71845530990663
5,254.699997,281.89267730795984
6,251.85000599999998,280.9884384875012
7,255.0,278.0243306093014
8,257.5,273.8773876009399
9,250.25,269.8004000314105
10,248.550003,266.178507954343
11,248.699997,263.1844992028887
12,251.14999400000002,260.81802364972594
13,257.350006,259.2348529401821
14,269.549988,258.92414995509927
15,269.049988,261.04098472804554
16,257.399994,265.71521948255844
17,255.600006,270.99013266980535
18,258.899994,274.803929531777
19,260.299988,276.4796038796562
20,261.600006,276.45386952152734
21,259.649994,275.6393333208323
22,267.100006,274.67186150611406
23,266.700012,274.4098612314493
24,262.049988,275.2487662937195
25,265.549988,276.65428240034345
26,269.950012,278.2128391591871
27,277.5,279.87240765027826
28,275.549988,281.9719461335433
29,267.200012,284.301798368879
30,262.649994,285.81032193348295
31,266.450012,285.5898817718781
32,260.200012,283.89638594333536
33,251.449997,281.083393017087
34,252.699997,277.3948717107416
35,250.199997,273.2399107867182
36,240.25,269.61661820036477
37,240.899994,266.92329879259887
38,233.300003,265.1084838471628
39,225.550003,263.50374529461567
40,223.449997,261.4124698161376
41,229.25,258.536313921094
42,227.550003,255.15534445393806
43,223.25,251.64006614626174
44,216.550003,248.1595904943407
45,212.75,244.65821224132722
46,184.25,241.09244557389323
47,188.75,237.3994426378328
48,182.74999999999997,233.58305483368224
49,183.399994,229.52262828645888
50,184.300003,225.15090353770617
51,185.5,220.5429828978819
52,179.199997,215.87011363992278
53,174.800003,211.19927512042824
54,170.550003,206.48607119503444
55,170.649994,201.6298752715475
56,170.550003,196.63268307569984
57,165.399994,191.63897464670097
58,168.850006,186.83281191745374
59,175.350006,182.48146457881126
60,177.300003,179.05419077338937
61,178.649994,177.16984054190698
62,178.75,177.20674396159117
63,190.0,178.99423146958563
64,189.649994,182.54261431550805
65,192.850006,187.4790594210786
66,195.100006,192.85738271272515
67,195.399994,197.86957786429826
68,185.949997,201.9477558667207
69,179.800003,204.4361107404912
70,176.800003,204.88098251516584
71,179.949997,203.33100387569849
72,179.39999400000002,200.45635352813724
73,184.300003,197.08252665833953
74,183.300003,194.01794974524054
75,184.149994,191.755952184808
76,182.25,190.41867589314077
77,181.699997,189.76862950807785
78,180.0,189.48131502806996
79,174.350006,189.21866701786044
80,177.300003,188.5880877118719
81,171.949997,187.56368519468074
82,175.399994,186.21685042713705
83,175.699997,184.98601284120028
84,169.199997,184.21272163897578
85,162.399994,183.57895617436174
86,162.449997,182.58557493785386
87,156.850006,180.95380655608838
88,158.199997,178.64067290035342
89,163.899994,175.94061354164901
90,166.44999699999997,173.50537298254733
91,166.899994,172.00098092033687
92,173.75000000000003,171.70247987240765
93,174.399994,172.89863734715166
94,173.649994,175.57627105091515
95,175.94999700000002,179.20481554709082
96,175.899994,183.1023278516287
97,172.300003,186.51109742811028
