,Date,Open,High,Low,Close,Adj Close,Volume
0,1998-10-22,14.8369,14.8369,14.2472,14.4406,0.568719,49740290
1,1998-10-23,14.2708,14.9312,14.2141,14.6718,0.577824,75823974
2,1998-10-26,14.7755,15.6624,14.7755,15.5021,0.610524,73332243
3,1998-10-27,15.5917,15.6624,15.1152,15.3511,0.604577,53245777
4,1998-10-28,15.6436,15.7332,14.884,15.0067,0.591014,60238203
5,1998-10-29,14.9076,15.1671,14.634,15.0114,0.591199,58388747
6,1998-10-30,15.1718,15.3983,14.7284,14.8133,0.583397,83748017
7,1998-11-02,14.6199,14.7048,14.0773,14.2708,0.562032,72660292
8,1998-11-03,14.2377,14.2896,14.0821,14.1905,0.558869,74371966
9,1998-11-05,14.2236,14.4595,14.167,14.3887,0.566675,56751264
10,1998-11-06,14.4217,14.7378,14.3887,14.6906,0.578565,65944489
11,1998-11-09,14.7755,15.7379,14.7755,15.4313,0.6077359999999999,79794740
12,1998-11-10,15.469,15.8276,15.1907,15.62,0.615168,57210183
13,1998-11-11,16.0116,16.030399,15.2567,15.3652,0.605133,65817306
14,1998-11-12,15.219,15.653,14.9642,15.5351,0.6118239999999999,89164962
15,1998-11-13,15.5303,15.5303,15.2001,15.2567,0.6008600000000001,67062642
16,1998-11-16,15.2237,15.3275,14.9737,15.1011,0.5947319999999999,50685685
17,1998-11-17,15.1058,15.3086,15.0775,15.1954,0.598445,42728256
18,1998-11-18,15.3133,15.771,15.2898,15.7332,0.619626,63410894
19,1998-11-19,15.7049,15.7568,15.285,15.285,0.601974,58540307
20,1998-11-20,15.3322,15.3794,15.0822,15.186,0.598075,45256552
21,1998-11-23,15.1577,15.1577,14.7189,14.7708,0.581723,42630749
22,1998-11-24,14.8604,14.9925,14.7284,14.7802,0.5820930000000001,42782309
23,1998-11-26,14.6246,14.851,14.3179,14.3651,0.5657449999999999,40173993
24,1998-11-27,14.3226,14.417,14.1103,14.2943,0.5629569999999999,49166905
25,1998-11-30,13.9688,14.1905,13.7471,14.1905,0.558869,56808496
26,1998-12-01,14.0962,14.2896,14.016,14.1103,0.555711,42799267
27,1998-12-02,14.3415,14.5915,14.3179,14.3981,0.567045,61781359
28,1998-12-03,14.4359,14.4359,14.1622,14.2519,0.561287,43268784
29,1998-12-04,14.2047,14.5302,14.0207,14.4925,0.570763,64933913
30,1998-12-07,14.5397,14.7897,14.4642,14.7708,0.581723,42543840
31,1998-12-08,14.7189,15.0256,14.634,14.9831,0.590084,49628474
32,1998-12-09,15.068,15.1294,14.7944,14.8133,0.583397,45594117
33,1998-12-10,14.8793,14.9925,14.7378,14.8227,0.583767,28324229
34,1998-12-11,14.8793,14.9925,14.7755,14.9359,0.588226,29777827
35,1998-12-14,14.9548,15.2662,14.884,14.9359,0.588226,51541522
36,1998-12-15,14.8322,14.884,14.5868,14.5868,0.574477,37917551
37,1998-12-16,14.6104,14.6482,14.3934,14.6482,0.5768949999999999,29411645
38,1998-12-17,14.2472,14.5113,14.0585,14.1056,0.5555260000000001,50667667
39,1998-12-18,14.0585,14.2943,14.0585,14.2424,0.560913,29009428
40,1998-12-21,14.4736,14.6529,14.3981,14.5774,0.5741069999999999,30715273
41,1998-12-22,14.6623,14.6623,14.4123,14.5491,0.5729920000000001,25152068
42,1998-12-23,14.7189,14.8604,14.4595,14.4595,0.569463,34585881
43,1998-12-24,14.3415,14.4359,14.2613,14.3226,0.564072,32452913
44,1998-12-28,14.7425,14.9548,14.601,14.8086,0.583212,44456358
45,1998-12-29,14.7567,15.002,14.4406,14.8982,0.586741,41827375
46,1998-12-30,15.2945,15.6294,15.285,15.4737,0.609406,62841844
47,1998-12-31,15.4266,15.4501,14.8699,14.8699,0.585626,44149814
48,1999-01-01,14.9548,15.0963,14.7378,15.0963,0.594543,44887986
49,1999-01-04,15.3605,15.4454,15.0963,15.2001,0.598631,40292041
50,1999-01-05,15.2473,15.2473,14.9265,15.2048,0.598816,44475011
51,1999-01-06,15.4266,15.4407,15.0586,15.1718,0.5975159999999999,32279562
52,1999-01-07,15.2379,16.341801,15.2048,16.134199,0.635418,148386049
53,1999-01-08,16.606001000000003,17.4268,16.384199,17.4268,0.686325,113615932
54,1999-01-11,17.643801,18.6817,17.129601,17.653299,0.695246,139213364
55,1999-01-12,17.3183,17.676901,16.9834,17.389098999999998,0.684841,87081489
56,1999-01-13,17.7288,17.926901,16.9834,17.1108,0.67388,85903105
57,1999-01-14,16.5965,17.058901000000002,16.5116,16.747498999999998,0.659572,55224609
58,1999-01-15,16.747498999999998,16.978701,16.1436,16.2286,0.6391359999999999,51492789
59,1999-01-18,16.379499,16.379499,15.7804,16.271,0.640806,38015557
60,1999-01-19,16.157801,16.1861,15.5681,15.5681,0.613124,41729836
61,1999-01-21,15.7568,16.087,15.5021,16.0399,0.6317050000000001,41303317
62,1999-01-22,16.134199,16.6437,16.0917,16.1814,0.6372770000000001,44123668
63,1999-01-25,15.7568,15.9785,15.3464,15.6719,0.617212,40418291
64,1999-01-27,15.804,16.3088,15.7096,15.9455,0.627987,48738128
65,1999-01-28,15.9455,16.1861,15.5445,15.8417,0.623899,38436766
66,1999-01-29,15.8747,15.9455,15.6058,15.7568,0.620555,28435365
