Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,341.899994,342.450012,332.549988,335.75,335.75,559922
2018-03-20,335.75,340.399994,333.399994,339.25,339.25,366544
2018-03-21,340.0,342.299988,332.600006,333.899994,333.899994,494549
2018-03-22,339.799988,339.899994,335.0,338.200012,338.200012,481307
2018-03-23,331.0,335.0,330.100006,331.100006,331.100006,496525
2018-03-26,330.0,333.700012,324.5,332.049988,332.049988,629409
2018-03-27,333.899994,335.700012,330.0,331.049988,331.049988,432538
2018-03-28,331.25,333.75,326.149994,327.450012,327.450012,494682
2018-04-02,335.0,340.0,332.0,338.799988,338.799988,459555
2018-04-03,339.350006,344.700012,337.450012,343.350006,343.350006,574172
2018-04-04,349.850006,363.450012,346.100006,355.700012,355.700012,1476617
2018-04-05,364.799988,372.399994,360.399994,363.600006,363.600006,2198237
2018-04-06,363.5,368.25,356.600006,363.850006,363.850006,653999
2018-04-09,363.899994,368.399994,357.0,358.299988,358.299988,494256
2018-04-10,360.950012,362.450012,352.0,353.399994,353.399994,474398
2018-04-11,354.100006,357.100006,350.700012,355.299988,355.299988,373758
2018-04-12,359.299988,363.950012,356.850006,358.049988,358.049988,734607
2018-04-13,359.0,360.600006,354.450012,356.649994,356.649994,259261
2018-04-16,351.5,352.5,337.899994,338.950012,338.950012,1281628
2018-04-17,341.399994,344.299988,333.100006,336.899994,336.899994,701127
2018-04-18,338.0,339.950012,334.100006,335.5,335.5,399398
2018-04-19,336.0,337.0,332.5,334.850006,334.850006,387920
2018-04-20,336.0,343.0,334.799988,336.25,336.25,802632
2018-04-23,337.0,339.649994,333.0,333.5,333.5,1076670
2018-04-24,334.0,335.5,330.850006,331.549988,331.549988,450969
2018-04-25,330.549988,333.950012,327.899994,328.649994,328.649994,478076
2018-04-26,328.25,335.649994,326.100006,330.299988,330.299988,686464
2018-04-27,332.149994,337.549988,331.350006,336.799988,336.799988,512142
2018-04-30,338.950012,342.700012,337.399994,340.200012,340.200012,436277
2018-05-02,349.75,352.0,335.100006,336.0,336.0,1159632
2018-05-03,335.0,335.5,329.450012,333.450012,333.450012,1062017
2018-05-04,335.700012,337.5,329.5,334.25,334.25,474047
2018-05-07,337.5,337.5,333.899994,335.049988,335.049988,243640
2018-05-08,339.200012,339.200012,330.299988,332.100006,332.100006,354371
2018-05-09,332.100006,346.75,331.100006,341.350006,341.350006,999911
2018-05-10,343.100006,344.299988,332.5,333.350006,333.350006,782878
2018-05-11,335.399994,335.399994,330.0,330.75,330.75,484582
2018-05-14,332.5,333.899994,323.149994,324.149994,324.149994,684086
2018-05-15,323.950012,324.0,305.75,310.25,310.25,1299902
2018-05-16,310.700012,315.399994,306.799988,310.399994,310.399994,749847
2018-05-17,312.0,319.350006,309.600006,315.149994,315.149994,1151045
2018-05-18,315.0,315.100006,304.0,305.25,305.25,716253
2018-05-21,304.200012,307.350006,295.100006,296.549988,296.549988,759795
2018-05-22,296.0,312.5,296.0,307.75,307.75,1238907
2018-05-23,310.5,317.0,305.649994,309.25,309.25,1179567
2018-05-24,301.5,307.600006,284.700012,288.950012,288.950012,3260752
2018-05-25,288.649994,296.899994,286.25,294.200012,294.200012,1120841
2018-05-28,294.899994,300.0,290.450012,296.200012,296.200012,648033
2018-05-29,296.299988,300.200012,293.0,294.600006,294.600006,575018
2018-05-30,290.899994,292.399994,286.25,288.950012,288.950012,777993
2018-05-31,290.799988,291.149994,282.0,282.899994,282.899994,1137096
2018-06-01,286.649994,290.5,283.399994,287.200012,287.200012,1259799
2018-06-04,291.600006,294.799988,286.100006,286.649994,286.649994,791666
2018-06-05,286.0,288.299988,283.700012,285.350006,285.350006,526276
2018-06-06,286.049988,296.700012,285.549988,295.5,295.5,1272388
2018-06-07,297.0,306.450012,295.600006,305.299988,305.299988,1363470
2018-06-08,306.799988,315.0,302.600006,310.049988,310.049988,1468816
2018-06-11,311.799988,313.899994,307.049988,309.850006,309.850006,1007575
