Date,Open,High,Low,Close,Adj Close,Volume
2000-09-14,18.2054,18.2054,17.841299,18.052099,6.451992,1529127
2000-09-15,18.0137,18.0137,17.266399,17.333401000000002,6.1951220000000005,3546320
2000-09-18,17.6017,18.195801,17.2855,17.5921,6.287585,2221817
2000-09-19,17.515499,17.7838,17.055599,17.419701,6.2259660000000006,2222365
2000-09-20,17.6017,17.6113,17.266399,17.4484,6.236225,804282
2000-09-21,17.458,17.630501000000002,16.7777,17.0364,6.088972,1354133
2000-09-22,16.863899,16.863899,16.298599,16.375299,5.852688,2882717
2000-09-25,16.950198999999998,17.4963,16.4807,16.5382,5.9109110000000005,1071665
2000-09-26,16.5765,16.5765,15.7908,15.9153,5.6882790000000005,2726582
2000-09-27,15.7333,16.2794,15.6566,16.087799,5.749933,1357911
2000-09-28,16.107,16.193199,15.5225,15.6183,5.582129,1327483
2000-09-29,15.8578,15.8866,15.4362,15.5225,5.547889,2133002
2000-10-02,16.127399,16.127399,16.127399,16.127399,5.764085,0
2000-10-03,15.5416,16.0112,15.2542,15.7908,5.643782,2594206
2000-10-04,15.7141,16.3848,15.7141,16.107,5.756794,1717609
2000-10-05,16.0016,16.4328,15.7141,15.762,5.633489,1619955
2000-10-06,15.6758,15.7908,15.2446,15.2925,5.465685,1983113
2000-10-09,15.3308,15.6758,14.7559,15.35,5.486236,1085362
2000-10-10,15.4171,15.58,15.0434,15.1105,5.400637000000001,1838631
2000-10-11,15.2159,15.3308,14.7176,14.8805,5.3184309999999995,1049957
2000-10-12,14.6026,15.2159,14.5931,14.8901,5.321863,796674
2000-10-13,14.6793,15.3883,14.4685,14.5739,5.20885,2939945
2000-10-16,15.4171,15.4171,14.6026,14.6793,5.246522,1295443
2000-10-17,14.5835,14.7368,14.3248,14.3727,5.13694,1345784
2000-10-18,14.3727,14.526,14.181,14.3918,5.143766,627759
2000-10-19,14.4493,14.4493,13.4337,14.1906,5.071855,2056331
2000-10-20,14.3727,14.4206,13.7786,13.8457,4.948586,3046982
2000-10-23,13.3187,13.5103,13.0312,13.2228,4.725955,3329842
2000-10-24,13.2133,13.3474,13.0983,13.1558,4.702008999999999,1198468
2000-10-25,13.2228,13.7978,13.127,13.6157,4.86638,3275483
2000-10-26,13.8936,14.0469,13.7978,13.9319,4.979394,793115
2000-10-27,14.0373,14.0373,13.7019,13.884,4.962274,749318
2000-10-30,13.8457,13.8936,13.5103,13.5582,4.84583,660666
2000-10-31,13.5391,13.5582,13.4145,13.4432,4.804727,1165071
2000-11-01,13.6061,14.411,13.357,14.1044,5.041046,3346566
2000-11-02,14.2768,15.0434,14.181,14.8038,5.291018,3579347
2000-11-03,14.6122,16.835199,14.4014,16.4328,5.87324,8266520
2000-11-06,17.055599,17.5826,16.097401,16.8927,6.037611,12981309
2000-11-07,16.863899,17.1514,16.4807,16.863899,6.027318,5997995
2000-11-08,16.9597,17.055599,16.336901,16.528601000000002,5.907479,2653694
2000-11-09,16.3848,16.3848,15.7141,15.8674,5.6711599999999995,2796804
2000-11-10,16.0495,16.3561,15.1967,15.2638,5.455426999999999,6572910
2000-11-13,14.6122,14.8518,14.181,14.3918,5.143766,3367043
2000-11-14,14.5547,15.1392,14.3727,14.8805,5.3184309999999995,4767748
2000-11-15,15.0434,15.5608,14.9476,15.1105,5.400637000000001,6073623
2000-11-16,15.1392,15.6183,14.9476,14.9859,5.356103,3150694
2000-11-17,14.9476,15.0913,14.6889,14.708,5.256779,2785011
2000-11-20,14.9284,16.1453,14.6697,15.9824,5.712262,10543755
2000-11-21,16.0016,16.5765,15.5608,15.9728,5.70883,5746215
2000-11-22,16.0016,16.193199,15.3787,15.4171,5.510219,4095206
2000-11-23,15.35,16.3274,15.1392,16.087799,5.749933,5998825
2000-11-24,16.193199,17.055599,16.097401,16.873501,6.030751,8817426
2000-11-27,17.2472,17.3622,16.701,17.2185,6.154056,9958921
2000-11-28,17.1514,18.0616,17.093901000000002,17.630501000000002,6.301309,17472517
