,Date,Open,High,Low,Close,Adj Close,Volume
4828,2018-04-23,241.899994,244.850006,239.30000299999998,242.44999700000002,242.44999700000002,12111837
4829,2018-04-24,242.0,243.399994,239.600006,240.600006,240.600006,9486349
4830,2018-04-25,239.69999700000002,240.75,236.75,237.19999700000002,237.19999700000002,13124853
4831,2018-04-26,238.399994,238.80000299999998,232.5,233.19999700000002,233.19999700000002,24495144
4832,2018-04-27,233.25,245.80000299999998,233.25,242.600006,242.600006,31401889
4833,2018-04-30,244.80000299999998,249.69999700000002,244.5,246.399994,246.399994,17263193
4834,2018-05-02,245.899994,246.30000299999998,239.75,241.0,241.0,12887066
4835,2018-05-03,240.94999700000002,243.399994,238.75,241.899994,241.899994,12939642
4836,2018-05-04,243.5,243.899994,240.350006,241.94999700000002,241.94999700000002,12777310
4837,2018-05-07,242.44999700000002,248.19999700000002,242.05000299999998,246.5,246.5,15122614
4838,2018-05-08,248.0,252.600006,244.600006,250.05000299999998,250.05000299999998,23293920
4839,2018-05-09,249.80000299999998,249.80000299999998,246.30000299999998,248.0,248.0,11429823
4840,2018-05-10,248.25,250.19999700000002,246.30000299999998,247.94999700000002,247.94999700000002,13160967
4841,2018-05-11,247.600006,251.600006,246.05000299999998,250.350006,250.350006,11958589
4842,2018-05-14,249.94999700000002,255.80000299999998,248.149994,253.600006,253.600006,18673849
4843,2018-05-15,253.0,257.450012,245.899994,248.0,248.0,18026861
4844,2018-05-16,245.5,248.69999700000002,240.600006,243.100006,243.100006,17222004
4845,2018-05-17,244.19999700000002,246.0,241.149994,242.69999700000002,242.69999700000002,11721064
4846,2018-05-18,243.0,244.0,237.850006,238.850006,238.850006,11873041
4847,2018-05-21,243.55000299999998,245.75,240.30000299999998,244.44999700000002,244.44999700000002,18780730
4848,2018-05-22,243.649994,259.700012,241.0,253.899994,253.899994,68713602
4849,2018-05-23,254.649994,269.75,254.30000299999998,263.200012,263.200012,71202072
4850,2018-05-24,263.850006,269.700012,260.649994,268.5,268.5,34679642
4851,2018-05-25,267.799988,268.399994,262.549988,266.950012,266.950012,22317308
4852,2018-05-28,267.399994,274.200012,266.049988,272.049988,272.049988,18959368
4853,2018-05-29,270.5,270.950012,262.799988,264.299988,264.299988,16107543
4854,2018-05-30,260.5,268.0,259.950012,267.149994,267.149994,19320209
4855,2018-05-31,266.850006,274.799988,263.149994,269.549988,269.549988,31935892
4856,2018-06-01,269.25,269.799988,264.600006,266.700012,266.700012,16574717
4857,2018-06-04,268.0,268.350006,261.299988,263.0,263.0,12933824
4858,2018-06-05,260.899994,265.25,260.899994,263.549988,263.549988,14102731
4859,2018-06-06,263.0,271.399994,262.200012,270.149994,270.149994,18315171
4860,2018-06-07,271.049988,272.899994,268.399994,269.649994,269.649994,18773700
4861,2018-06-08,268.950012,273.899994,267.0,273.0,273.0,14096549
4862,2018-06-11,273.299988,278.399994,273.149994,274.0,274.0,18219428
4863,2018-06-12,274.0,284.399994,274.0,282.850006,282.850006,31358021
4864,2018-06-13,284.0,289.649994,283.649994,287.700012,287.700012,26748300
4865,2018-06-14,286.549988,286.549988,281.299988,282.600006,282.600006,18513730
4866,2018-06-15,282.75,283.450012,276.600006,277.450012,277.450012,16949917
4867,2018-06-18,278.0,279.75,275.450012,276.850006,276.850006,13542420
4868,2018-06-19,276.0,276.700012,269.75,272.600006,272.600006,20726975
4869,2018-06-20,273.200012,274.75,271.100006,273.299988,273.299988,14002946
4870,2018-06-21,274.75,274.75,268.100006,268.649994,268.649994,12954943
4871,2018-06-22,269.0,273.700012,265.75,273.049988,273.049988,20784133
4872,2018-06-25,271.850006,273.149994,267.200012,268.450012,268.450012,10934401
4873,2018-06-26,267.25,271.200012,265.399994,267.399994,267.399994,16867009
4874,2018-06-27,267.350006,267.350006,261.0,261.700012,261.700012,16277655
4875,2018-06-28,260.399994,262.0,255.69999700000002,257.0,257.0,21349738
4876,2018-06-29,258.25,263.450012,258.200012,259.350006,259.350006,16244724
4877,2018-07-02,258.950012,261.75,254.0,258.850006,258.850006,21896701
